ID,AmE_wordform,BrE_wordform,DE_wordform,EP_wordform,ES_wordform,PoS (all),NLD_orthg_AmE_BrE,NLD_orthg_AmE_DE,NLD_orthg_AmE_EP,NLD_orthg_AmE_ES,NLD_orthg_BrE_DE,NLD_orthg_BrE_EP,NLD_orthg_BrE_ES,NLD_orthg_DE_EP,NLD_orthg_DE_ES,NLD_orthg_EP_ES,NLD_phonoL_AmE_BrE,NLD_phonoL_AmE_DE,NLD_phonoL_AmE_EP,NLD_phonoL_AmE_ES,NLD_phonoL_BrE_DE,NLD_phonoL_BrE_EP,NLD_phonoL_BrE_ES,NLD_phonoL_DE_EP,NLD_phonoL_DE_ES,NLD_phonoL_EP_ES,NLD_phonoG_AmE_BrE,NLD_phonoG_AmE_DE,NLD_phonoG_AmE_EP,NLD_phonoG_AmE_ES,NLD_phonoG_BrE_DE,NLD_phonoG_BrE_EP,NLD_phonoG_BrE_ES,NLD_phonoG_DE_EP,NLD_phonoG_DE_ES,NLD_phonoG_EP_ES,AmE_wordform,LEN_orth_AmE,phonetic_t_AmE,LEN_phon_AmE,ANC_abs,ANC_mln,ANC_log10(abs+1),ANC_abs_annotated,ANC_mln_annotated,ANC_log10(abs+1)_annotated,SpecPoS_annotated_ANC,SubtlexUS_abs,SubtlexUS_mln,SubtlexUS_log10(abs+1),SubtlexUS_zipf,BrE_wordform,LEN_orth_BrE,phonetic_t_BrE,LEN_phon_BrE,Celex_abs,Celex_mln,Celex_log10(abs+1),Celex_abs_annotated,Celex_mln_annotated,Celex_log10(abs+1)_annotated,SpecPoS_annotated_Celex,SubtlexUK_abs,SubtlexUK_mln,SubtlexUK_log10(abs+1),SubtlexUK_zipf,DE_wordform,LEN_orth_DE,phonetic_t_DE,LEN_phon_DE,dlexDB_abs,dlexDB_mln,dlexDB_log10(abs+1),dlexDB_abs_annotated,dlexDB_mln_annotated,dlexDB_log10(abs+1)_annotated,SpecPoS_annotated_dlexDB,SubtlexDE_abs,SubtlexDE_mln,SubtlexDE_log10(abs+1),EP_wordform,EP_OA (1990),LEN_orth_EP,phonetic_t_EP,LEN_phon_EP,P-Pal_abs,P-PAL_mln,P-Pal_log10(abs+1),P-Pal_abs_annotated,P-Pal_mln_annotated,P-Pal_log10(abs+1)_annotated,SpecPoS_annotated_P-Pal,SubtlexPT_abs,SubtlexPT_mln,SubtlexPT_log10(abs+1),SubtlexPT_zipf,ES_wordform,LEN_orth_ES,phonetic_t_ES,LEN_phon_ES,Espal_abs,Espal_mln,Espal_log10(abs+1),Espal_abs_annotated,Espal_mln_annotated,Espal_log10(abs+1)_annotated,SpecPoS_annotated_Espal,SubtlexES_abs,SubtlexES_mln,Subtlex_ES_log10(abs+1),
3491,marry,marry,heiraten,casar,casar,V,1.000,0.125,0.200,0.200,0.125,0.200,0.200,0.125,0.125,1.000,0.965,0.256,0.439,0.459,0.275,0.457,0.477,0.458,0.490,0.955,0.982,0.189,0.314,0.323,0.198,0.322,0.331,0.281,0.295,0.978,marry,5,mæɹ̠i,4,301,13.444,2.480,274,12.238,2.439,,5322,104.353,3.726,5.018,marry,5,mæɹ̠ɪ,4,808,45.140,2.908,808,45.140,2.908,,5433,26.985,3.735,4.431,heiraten,8,haɪʁa:tən,8,2146,17.544,3.332,1840,15.042,3.265,,2827,111.303,3.451,casar,,5,kɐzaɾ,5,2785,13.606,3.445,2785,13.606,3.445,,9403,120.521,3.973,5.081,casar,5,kas̺aɾ,5,3570,11.601,3.553,3352,10.892,3.525,,994,23.894,2.998,
3492,marshal,marshal,Marschall,marechal,mariscal,N,1.000,0.778,0.750,0.750,0.778,0.750,0.750,0.778,0.667,0.625,0.800,0.703,0.731,0.605,0.803,0.602,0.492,0.686,0.588,0.810,0.897,0.740,0.740,0.676,0.791,0.675,0.616,0.731,0.627,0.715,marshal,7,mɑɹ̠ʃəɫ,6,38,1.697,1.591,24,1.072,1.398,,900,17.647,2.955,4.247,marshal,7,mɑ:ʃəɫ,5,61,3.408,1.792,53,2.961,1.732,,573,2.846,2.759,3.455,Marschall,9,maɐʃal,6,2176,17.789,3.338,905,7.398,2.957,,55,2.165,1.748,marechal,,8,mɐɾɨʃaɫ,7,1077,5.262,3.033,1077,5.262,3.033,,195,2.499,2.292,3.398,mariscal,8,maɾis̺kal,8,4809,15.627,3.682,2533,8.231,3.404,,220,5.288,2.344,
3493,martyr,martyr,Märtyrer,mártir,mártir,N,1.000,0.625,0.667,0.667,0.625,0.667,0.667,0.500,0.500,1.000,0.583,0.361,0.723,0.723,0.529,0.507,0.507,0.465,0.465,1.000,0.780,0.487,0.695,0.695,0.576,0.585,0.585,0.483,0.483,1.000,martyr,6,mɑɹ̠ɾəɹ̠,6,60,2.680,1.785,57,2.546,1.763,,132,2.588,2.124,3.416,martyr,6,mɑ:tə,4,56,3.128,1.756,56,3.128,1.756,,334,1.659,2.525,3.221,Märtyrer,8,mɛɐty:ʁɐ,7,526,4.300,2.722,526,4.300,2.722,,95,3.740,1.982,mártir,,6,maɾtiɾ,6,698,3.410,2.844,698,3.410,2.844,,292,3.743,2.467,3.573,mártir,6,maɾtiɾ,6,2635,8.562,3.421,443,1.440,2.647,,163,3.918,2.215,
3494,martyrdom,martyrdom,Martyrium,martírio,martirio,N,1.000,0.778,0.667,0.667,0.778,0.667,0.667,0.667,0.667,0.875,0.689,0.596,0.628,0.624,0.609,0.489,0.467,0.606,0.606,0.947,0.838,0.684,0.648,0.645,0.691,0.576,0.564,0.636,0.636,0.911,martyrdom,9,mɑɹ̠ɾəɹ̠ɾəm,9,59,2.635,1.778,51,2.278,1.716,,16,0.314,1.230,2.522,martyrdom,9,mɑ:tədəm,7,35,1.955,1.556,35,1.955,1.556,,91,0.452,1.964,2.66,Martyrium,9,maɐty:ʁjʊm,9,260,2.126,2.417,260,2.126,2.417,,9,0.354,1.000,martírio,,8,mɐɾtiɾju,8,614,3.000,2.789,614,3.000,2.789,,54,0.692,1.740,2.840,martirio,8,maɾtiɾjo,8,1734,5.635,3.239,1542,5.011,3.188,,32,0.769,1.519,
3495,marvellous,marvellous,wunderbar,maravilhoso,maravilloso,ADJ,1.000,0.100,0.545,0.636,0.100,0.545,0.636,0.000,0.000,0.909,0.725,0.483,0.659,0.612,0.459,0.505,0.458,0.403,0.398,0.894,0.857,0.277,0.601,0.624,0.267,0.525,0.544,0.184,0.182,0.901,marvellous,10,mɑɹ̠vəɫəs,8,44,1.965,1.653,42,1.876,1.633,,222,4.353,2.348,3.640,marvellous,10,mɑ:vləs,6,674,37.654,2.829,674,37.654,2.829,,6311,31.346,3.800,4.496,wunderbar,9,vʊndɐba:ɐ,8,1341,10.963,3.128,1159,9.475,3.064,,1331,52.403,3.125,maravilhoso,,11,mɐɾɐviʎ̟ozu,10,1132,5.530,3.054,1043,5.095,3.019,,5502,70.521,3.741,4.848,maravilloso,11,maɾaβiʝos̺o,10,3320,10.788,3.521,3257,10.584,3.513,,3321,79.832,3.521,
3496,mask,mask,Maske,máscara,máscara,N,1.000,0.800,0.286,0.286,0.800,0.286,0.286,0.286,0.286,1.000,0.847,0.780,0.543,0.557,0.680,0.471,0.486,0.671,0.663,0.922,0.922,0.790,0.409,0.415,0.739,0.376,0.382,0.466,0.462,0.961,mask,4,mæsk,4,231,10.317,2.365,205,9.156,2.314,,1010,19.804,3.005,4.297,mask,4,mɑ:sk,4,253,14.134,2.405,237,13.240,2.377,,2198,10.917,3.342,4.038,Maske,5,maskə,5,1404,11.478,3.148,1398,11.429,3.146,,477,18.780,2.679,máscara,,7,maʃkɐɾɐ,7,1584,7.738,3.200,1584,7.738,3.200,,1924,24.660,3.284,4.392,máscara,7,mas̺kaɾa,7,4256,13.830,3.629,2914,9.469,3.465,,832,20.000,2.921,
3497,mason,mason,Maurer,pedreiro,albañil,N,1.000,0.333,0.000,0.143,0.333,0.000,0.143,0.375,0.000,0.125,1.000,0.560,0.507,0.377,0.560,0.507,0.377,0.369,0.372,0.376,1.000,0.442,0.228,0.255,0.442,0.228,0.255,0.372,0.171,0.244,mason,5,meɪsən,6,90,4.020,1.959,1,0.045,0.301,,709,13.902,2.851,4.143,mason,5,meɪsən,6,75,4.190,1.881,75,4.190,1.881,,1703,8.459,3.231,3.927,Maurer,6,maʊʁɐ,5,730,5.968,2.864,79,0.646,1.903,,9,0.354,1.000,pedreiro,,8,pɨðɾɐjɾu,8,631,3.083,2.801,631,3.083,2.801,,81,1.038,1.914,3.016,albañil,7,alβaˈɲil,7,601,1.953,2.780,589,1.914,2.771,,38,0.913,1.591,
3498,mass,mass,Messe,missa,misa,N,1.000,0.600,0.600,0.500,0.600,0.600,0.500,0.600,0.400,0.800,1.000,0.725,0.625,0.625,0.725,0.625,0.625,0.850,0.810,0.944,1.000,0.661,0.612,0.561,0.661,0.612,0.561,0.720,0.592,0.871,mass,4,mæs,3,1714,76.552,3.234,1283,57.302,3.109,,880,17.255,2.945,4.237,mass,4,mæs,3,2023,113.017,3.306,2023,113.017,3.306,,6806,33.804,3.833,4.529,Messe,5,mɛsə,4,2403,19.645,3.381,2292,18.737,3.360,,120,4.725,2.083,missa,,5,misɐ,4,4344,21.222,3.638,4344,21.222,3.638,,632,8.101,2.801,3.909,misa,4,mis̺a,4,7167,23.289,3.855,5582,18.139,3.747,,313,7.524,2.497,
3499,mass,mass,Masse,massa,masa,N,1.000,0.800,0.800,0.750,0.800,0.800,0.750,0.800,0.600,0.800,1.000,0.725,0.725,0.725,0.725,0.725,0.725,0.950,0.910,0.944,1.000,0.762,0.762,0.737,0.762,0.762,0.737,0.873,0.748,0.871,mass,4,mæs,3,1714,76.552,3.234,1283,57.302,3.109,,880,17.255,2.945,4.237,mass,4,mæs,3,2023,113.017,3.306,2023,113.017,3.306,,6806,33.804,3.833,4.529,Masse,5,masə,4,5233,42.780,3.719,5233,42.780,3.719,,149,0.587,2.176,massa,,5,masɐ,4,7379,36.049,3.868,7379,36.049,3.868,,2850,36.529,3.455,4.563,masa,4,mas̺a,4,15797,51.332,4.199,15348,49.873,4.186,,685,16.466,2.836,
3500,master,master,Meister,mestre,maestro,N,1.000,0.714,0.500,0.571,0.714,0.500,0.571,0.571,0.429,0.714,0.731,0.750,0.633,0.557,0.800,0.659,0.597,0.667,0.634,0.774,0.861,0.732,0.565,0.564,0.756,0.577,0.584,0.618,0.528,0.744,master,6,mæstəɹ̠,6,868,38.767,2.939,565,25.234,2.753,,4450,87.255,3.648,4.940,master,6,mɑ:stə,5,896,50.056,2.953,713,39.832,2.854,,11496,57.099,4.061,4.756,Meister,7,maɪstɐ,6,7002,57.242,3.845,5008,40.941,3.700,,3304,130.083,3.519,mestre,,6,mɛʃtɾɨ,6,5868,28.667,3.769,5780,28.237,3.762,,5874,75.289,3.769,4.877,maestro,7,maes̺tɾo,7,24515,79.661,4.389,8174,26.561,3.912,,2454,58.990,3.390,
3501,masturbation,masturbation,Masturbation,masturbação,masturbación,N,1.000,1.000,0.750,0.833,1.000,0.750,0.833,0.750,0.833,0.667,0.909,0.652,0.737,0.735,0.743,0.673,0.676,0.571,0.813,0.777,0.954,0.818,0.744,0.783,0.867,0.711,0.753,0.658,0.823,0.721,masturbation,12,mæstəɹ̠beɪʃən,12,39,1.742,1.602,35,1.563,1.556,,87,1.706,1.944,3.236,masturbation,12,mæstəbeɪʃən,11,142,7.933,2.155,142,7.933,2.155,,87,0.432,1.944,2.64,Masturbation,12,mastʊɐbaʦjo:n,12,31,0.253,1.505,31,0.253,1.505,,39,1.535,1.602,masturbação,,11,mɐʃtuɾβɐsɐ̃w,11,152,0.743,2.185,152,0.743,2.185,,209,2.679,2.322,3.428,masturbación,12,mas̺tuɾβaθjon,12,397,1.290,2.600,377,1.225,2.577,,97,2.332,1.991,
3502,match,match,Streichholz,fósforo,fósforo,N,1.000,0.182,0.000,0.000,0.182,0.000,0.000,0.091,0.091,1.000,1.000,0.280,0.388,0.377,0.280,0.388,0.377,0.331,0.354,0.900,1.000,0.230,0.178,0.174,0.230,0.178,0.174,0.205,0.215,0.949,match,5,mætʃ,3,1082,48.325,3.035,491,21.929,2.692,,2521,49.431,3.402,4.694,match,5,mætʃ,3,1019,56.927,3.009,775,43.296,2.890,,26788,133.051,4.428,5.124,Streichholz,11,ʃtʁaɪçhɔlʦ,10,256,2.093,2.410,256,2.093,2.410,,62,2.441,1.799,fósforo,,7,fɔʃfuɾu,7,352,1.720,2.548,352,1.720,2.548,,465,5.960,2.668,3.775,fósforo,7,fos̺foɾo,7,1268,4.120,3.103,1167,3.792,3.067,,99,2.380,2.000,
3503,match,match,gleichstellen,igualar,igualar,V,1.000,0.154,0.143,0.143,0.154,0.143,0.143,0.154,0.154,1.000,1.000,0.271,0.360,0.376,0.271,0.360,0.376,0.426,0.429,0.963,1.000,0.211,0.247,0.254,0.211,0.247,0.254,0.283,0.284,0.981,match,5,mætʃ,3,1082,48.325,3.035,531,23.716,2.726,,2521,49.431,3.402,4.694,match,5,mætʃ,3,1019,56.927,3.009,244,13.631,2.389,,26788,133.051,4.428,5.124,gleichstellen,13,ɡlaɪçʃtɛlən,11,27,0.221,1.447,27,0.221,1.447,,NA,NA,NA,igualar,,7,iγwɐɫaɾ,6,729,3.561,2.863,729,3.561,2.863,,148,1.897,2.173,3.278,igualar,7,iγwalaɾ,6,1418,4.608,3.152,1412,4.588,3.150,,69,1.659,1.845,
3504,match,match,Spiel,jogo,partido,N,1.000,0.000,0.000,0.286,0.000,0.000,0.286,0.000,0.143,0.143,1.000,0.296,0.340,0.514,0.296,0.340,0.514,0.250,0.435,0.373,1.000,0.138,0.158,0.395,0.138,0.158,0.395,0.118,0.281,0.253,match,5,mætʃ,3,1082,48.325,3.035,491,21.929,2.692,,2521,49.431,3.402,4.694,match,5,mætʃ,3,1019,56.927,3.009,775,43.296,2.890,,26788,133.051,4.428,5.124,Spiel,5,ʃpi:l,4,8190,66.954,3.913,8103,66.243,3.909,,5257,206.976,3.721,jogo,,4,ʒoγu,4,82441,402.758,4.916,82034,400.769,4.914,,20006,256.422,4.301,5.409,partido,7,paɾtiðo,7,140725,457.285,5.148,90255,293.283,4.955,,3705,89.063,3.569,
3505,partner,mate,Partner,companheiro,compañero,N,0.429,1.000,0.273,0.222,0.429,0.273,0.333,0.273,0.222,0.727,0.305,0.625,0.359,0.444,0.468,0.227,0.278,0.405,0.425,0.691,0.366,0.803,0.315,0.328,0.448,0.250,0.305,0.338,0.320,0.709,partner,7,ˈpɑɹ̠tnəɹ̠,7,823,36.757,2.916,796,35.552,2.901,,3836,75.216,3.584,4.876,mate,4,meɪt,4,280,15.642,2.449,244,13.631,2.389,,25531,126.808,4.407,5.103,Partner,7,paɐtnɐ,6,2902,23.724,3.463,2891,23.634,3.461,,1828,71.971,3.262,companheiro,,11,kõpɐˈɲɐjɾu,9,4411,21.549,3.645,3980,19.444,3.600,,3028,38.811,3.481,4.589,compañero,9,kompaɲeɾo,9,14060,45.688,4.148,13828,44.934,4.141,,3214,77.260,3.507,
3506,partner,mate,Partner,parceiro,compañero,N,0.429,1.000,0.500,0.222,0.429,0.250,0.333,0.500,0.222,0.333,0.305,0.625,0.472,0.444,0.468,0.255,0.278,0.525,0.425,0.562,0.366,0.803,0.486,0.328,0.448,0.252,0.305,0.512,0.320,0.443,partner,7,ˈpɑɹ̠tnəɹ̠,7,823,36.757,2.916,796,35.552,2.901,,3836,75.216,3.584,4.876,mate,4,meɪt,4,280,15.642,2.449,244,13.631,2.389,,25531,126.808,4.407,5.103,Partner,7,paɐtnɐ,6,2902,23.724,3.463,2891,23.634,3.461,,1828,71.971,3.262,parceiro,,8,pɐɾsɐjɾu,8,4322,21.115,3.636,4318,21.095,3.635,,3738,47.911,3.573,4.680,compañero,9,kompaɲeɾo,9,14060,45.688,4.148,13828,44.934,4.141,,3214,77.260,3.507,
3507,partner,mate,Partner,companheiro,pareja,N,0.429,1.000,0.273,0.429,0.429,0.273,0.333,0.273,0.429,0.273,0.305,0.625,0.359,0.479,0.468,0.227,0.343,0.405,0.616,0.447,0.366,0.803,0.315,0.454,0.448,0.250,0.338,0.338,0.519,0.357,partner,7,ˈpɑɹ̠tnəɹ̠,7,823,36.757,2.916,796,35.552,2.901,,3836,75.216,3.584,4.876,mate,4,meɪt,4,280,15.642,2.449,244,13.631,2.389,,25531,126.808,4.407,5.103,Partner,7,paɐtnɐ,6,2902,23.724,3.463,2891,23.634,3.461,,1828,71.971,3.262,companheiro,,11,kõpɐˈɲɐjɾu,9,4411,21.549,3.645,3980,19.444,3.600,,3028,38.811,3.481,4.589,pareja,6,paɾexa,6,15099,49.064,4.179,14473,47.030,4.161,,2822,67.837,3.451,
3508,material,material,Material,material,material,N,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.613,0.850,0.705,0.617,0.727,0.680,0.686,0.874,0.812,0.924,0.796,0.923,0.846,0.798,0.859,0.833,0.836,0.936,0.904,material,8,mətɪəɹ̠iəɫ,9,1644,73.426,3.216,1563,69.808,3.194,,1129,22.137,3.053,4.345,material,8,mətɪəɹ̠ɪəɫ,9,2048,114.413,3.312,1720,96.089,3.236,,7472,37.112,3.873,4.569,Material,8,mateʁja:l,8,6490,53.056,3.812,6428,52.549,3.808,,497,19.568,2.697,material,,8,mɐtɨɾiaɫ,8,16961,82.860,4.229,14509,70.882,4.162,,3868,49.577,3.588,4.695,material,8,mateɾjal,8,29285,95.161,4.467,22574,73.354,4.354,,1400,33.654,3.146,
3509,maternity,maternity,Mutterschaft,maternidade,maternidad,N,1.000,0.333,0.636,0.700,0.333,0.636,0.700,0.417,0.417,0.909,0.818,0.635,0.692,0.717,0.650,0.591,0.609,0.538,0.580,0.863,0.907,0.477,0.664,0.709,0.483,0.614,0.654,0.476,0.496,0.886,maternity,9,mətɜɹ̠nɪɾi,9,91,4.064,1.964,85,3.796,1.934,,125,2.451,2.100,3.392,maternity,9,mətɜ:nɪtɪ,8,73,4.078,1.869,73,4.078,1.869,,943,4.684,2.975,3.671,Mutterschaft,12,mʊtɐʃaft,8,230,1.880,2.364,230,1.880,2.364,,18,0.709,1.279,maternidade,,11,mɐtɨɾniðaðɨ,11,1499,7.323,3.176,1499,7.323,3.176,,241,3.089,2.384,3.490,maternidad,10,mateɾniðað,10,1513,4.916,3.180,1390,4.517,3.143,,144,3.462,2.161,
3510,matter,matter,Angelegenheit,assunto,asunto,N,1.000,0.077,0.000,0.000,0.077,0.000,0.000,0.154,0.154,0.857,0.740,0.293,0.348,0.323,0.243,0.515,0.452,0.294,0.351,0.763,0.865,0.180,0.161,0.150,0.157,0.231,0.205,0.222,0.249,0.809,matter,6,mæɾəɹ̠,5,3867,172.711,3.587,3220,143.814,3.508,,18900,370.588,4.276,5.568,matter,6,mætə,4,5136,286.927,3.711,4004,223.687,3.603,,35202,174.842,4.547,5.242,Angelegenheit,13,anɡəle:ɡənhaɪt,13,5044,41.235,3.703,5044,41.235,3.703,,546,21.497,2.738,assunto,,7,ɐsũtu,5,26602,129.960,4.425,26602,129.960,4.425,,8506,109.024,3.930,5.038,asunto,6,as̺unto,6,38968,126.626,4.591,36653,119.104,4.564,,5738,137.933,3.759,
3511,matter,matter,Angelegenheit,matéria,materia,N,1.000,0.077,0.429,0.571,0.077,0.429,0.571,0.077,0.154,0.857,0.740,0.293,0.568,0.582,0.243,0.514,0.525,0.392,0.397,0.908,0.865,0.180,0.497,0.577,0.157,0.471,0.548,0.224,0.270,0.882,matter,6,mæɾəɹ̠,5,3867,172.711,3.587,3220,143.814,3.508,,18900,370.588,4.276,5.568,matter,6,mætə,4,5136,286.927,3.711,4004,223.687,3.603,,35202,174.842,4.547,5.242,Angelegenheit,13,anɡəle:ɡənhaɪt,13,5044,41.235,3.703,5044,41.235,3.703,,546,21.497,2.738,matéria,,7,mɐtɛɾjɐ,7,29480,144.020,4.470,29480,144.020,4.470,,1533,19.649,3.186,4.293,materia,7,mateɾja,7,47757,155.186,4.679,25649,83.346,4.409,,561,13.486,2.750,
3512,mattress,mattress,Matratze,colchão,colchón,N,1.000,0.375,0.000,0.000,0.375,0.000,0.000,0.000,0.000,0.714,1.000,0.651,0.489,0.551,0.651,0.489,0.551,0.369,0.323,0.710,1.000,0.507,0.220,0.245,0.507,0.220,0.245,0.170,0.150,0.712,mattress,8,mætɹ̠ɪs,6,36,1.608,1.568,33,1.474,1.531,,337,6.608,2.529,3.821,mattress,8,mætɹ̠ɪs,6,170,9.497,2.233,170,9.497,2.233,,557,2.767,2.747,3.442,Matratze,8,matʁaʦə,7,270,2.207,2.433,270,2.207,2.433,,102,4.016,2.013,colchão,,7,koɫʃɐ̃w,6,419,2.047,2.623,419,2.047,2.623,,457,5.858,2.661,3.768,colchón,7,koltʃon,6,826,2.684,2.918,808,2.626,2.908,,288,6.923,2.461,
3513,maxim,maxim,Maxime,máxima,máxima,N,1.000,0.833,0.667,0.667,0.833,0.667,0.667,0.667,0.667,1.000,1.000,0.794,0.626,0.823,0.794,0.626,0.823,0.800,0.920,0.825,1.000,0.813,0.647,0.743,0.813,0.647,0.743,0.732,0.789,0.911,maxim,5,mæksɪm,6,67,2.992,1.833,29,1.295,1.477,,65,1.275,1.820,3.111,maxim,5,mæksɪm,6,48,2.682,1.690,48,2.682,1.690,,153,0.760,2.188,2.883,Maxime,6,maksi:mə,7,326,2.665,2.515,275,2.248,2.441,,13,0.512,1.146,máxima,,6,masimɐ,6,6802,33.230,3.833,711,3.474,2.852,,1216,15.586,3.085,4.193,máxima,6,maks̺ima,7,17467,56.759,4.242,360,1.170,2.558,,549,13.197,2.740,
3514,may,may,Mai,maio,mayo,N,1.000,0.667,0.500,0.750,0.667,0.500,0.750,0.750,0.500,0.750,1.000,0.900,0.371,0.371,0.900,0.371,0.371,0.450,0.450,0.900,1.000,0.780,0.434,0.549,0.780,0.434,0.549,0.593,0.475,0.823,may,3,meɪ,3,22617,1010.138,4.354,5,0.223,0.778,,26080,511.373,4.416,5.708,may,3,meɪ,3,18544,1035.978,4.268,379,21.173,2.580,,97136,482.458,4.987,5.683,Mai,3,maɪ,3,4460,36.461,3.649,4327,35.374,3.636,,357,14.056,2.554,maio,,4,maju,4,35267,172.292,4.547,35267,172.292,4.547,,1117,14.317,3.048,4.156,mayo,4,maʝo,4,64458,209.456,4.809,56462,183.473,4.752,,639,15.361,2.806,
3515,mayor,mayor,Bürgermeister,presidente da câmara,alcalde,N,1.000,0.154,0.100,0.143,0.154,0.100,0.143,0.150,0.077,0.100,0.450,0.367,0.188,0.267,0.178,0.094,0.183,0.388,0.460,0.278,0.703,0.256,0.143,0.203,0.166,0.097,0.163,0.264,0.254,0.186,mayor,5,meɪəɹ̠,5,949,42.385,2.978,473,21.126,2.676,,1595,31.275,3.203,4.495,mayor,5,mɛə,3,268,14.972,2.430,268,14.972,2.430,,4970,24.685,3.696,4.392,Bürgermeister,13,bʏɐɡɐmaɪstɐ,11,3458,28.269,3.539,3458,28.269,3.539,,955,37.600,2.980,presidente da câmara,,20,pɾɨziðẽtɨðɐkɐmɐɾɐ,17,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,alcalde,7,alkalde,7,19372,62.949,4.287,15973,51.904,4.203,,1643,39.495,3.216,
3516,maze,maze,Labyrinth,labirinto,laberinto,N,1.000,0.111,0.111,0.222,0.111,0.111,0.222,0.778,0.778,0.889,1.000,0.300,0.282,0.267,0.300,0.282,0.267,0.666,0.717,0.820,1.000,0.202,0.194,0.244,0.202,0.194,0.244,0.721,0.747,0.854,maze,4,meɪz,4,135,6.029,2.134,121,5.404,2.086,,130,2.549,2.117,3.409,maze,4,meɪz,4,122,6.816,2.090,122,6.816,2.090,,983,4.882,2.993,3.689,Labyrinth,9,laby:ʁɪnt,8,419,3.425,2.623,419,3.425,2.623,,107,4.213,2.033,labirinto,,9,ɫɐβiɾĩtu,8,1011,4.939,3.005,1011,4.939,3.005,,420,5.383,2.624,3.731,laberinto,9,laβeɾinto,9,2798,9.092,3.447,2406,7.818,3.381,,181,4.351,2.260,
3517,meadow,meadow,Wiese,prado,prado,N,1.000,0.000,0.500,0.500,0.000,0.500,0.500,0.000,0.000,1.000,0.875,0.640,0.643,0.672,0.621,0.589,0.589,0.503,0.531,0.960,0.936,0.281,0.570,0.584,0.273,0.544,0.544,0.226,0.237,0.980,meadow,6,mɛɾoʊ,5,52,2.322,1.724,31,1.385,1.505,,116,2.275,2.068,3.360,meadow,6,mɛdəʊ,5,173,9.665,2.241,173,9.665,2.241,,863,4.286,2.937,3.632,Wiese,5,vi:zə,4,1522,12.442,3.183,1510,12.344,3.179,,69,2.717,1.845,prado,,5,pɾaðu,5,599,2.926,2.778,599,2.926,2.778,,194,2.487,2.290,3.396,prado,5,pɾaðo,5,5383,17.492,3.731,1105,3.591,3.044,,105,2.524,2.025,
3518,meal,meal,Mahlzeit,refeição,comida,N,1.000,0.250,0.125,0.167,0.250,0.125,0.167,0.000,0.000,0.125,0.933,0.367,0.231,0.447,0.400,0.206,0.414,0.433,0.210,0.516,0.966,0.307,0.177,0.300,0.323,0.165,0.285,0.197,0.100,0.306,meal,4,miɫ,3,547,24.431,2.739,531,23.716,2.726,,1472,28.863,3.168,4.460,meal,4,mi:ɫ,3,950,53.073,2.978,950,53.073,2.978,,6779,33.670,3.831,4.527,Mahlzeit,8,ma:lʦaɪt,7,1128,9.221,3.053,1128,9.221,3.053,,173,6.811,2.241,refeição,,8,ʁɨfɐjsɐ̃w,8,2144,10.474,3.331,2144,10.474,3.331,,1485,19.034,3.172,4.280,comida,6,komiða,6,15370,49.945,4.187,15120,49.132,4.180,,8643,207.764,3.937,
3519,mean,mean,bedeuten,significar,significar,V,1.000,0.250,0.100,0.100,0.250,0.100,0.100,0.000,0.000,1.000,0.933,0.366,0.258,0.258,0.337,0.238,0.238,0.469,0.469,1.000,0.966,0.306,0.176,0.176,0.293,0.167,0.167,0.212,0.212,1.000,mean,4,min,3,16227,724.743,4.210,14165,632.649,4.151,,63443,1243.980,4.802,6.094,mean,4,mi:n,3,7547,421.620,3.878,6944,387.933,3.842,,102184,507.531,5.009,5.705,bedeuten,8,bədɔʏtən,8,4285,35.030,3.632,4262,34.842,3.630,,1368,53.860,3.136,significar,,10,siγnifikaɾ,10,2816,13.757,3.450,2816,13.757,3.450,,875,11.215,2.943,4.050,significar,10,s̺iγnifikaɾ,10,4194,13.628,3.623,4190,13.615,3.622,,354,8.510,2.550,
3520,meaning,meaning,Sinn,acepção,acepción,N,1.000,0.286,0.000,0.250,0.286,0.000,0.250,0.000,0.250,0.500,0.960,0.487,0.411,0.413,0.447,0.377,0.388,0.397,0.345,0.543,0.980,0.383,0.188,0.329,0.364,0.174,0.317,0.182,0.297,0.521,meaning,7,minɪŋ,5,1731,77.311,3.239,576,25.726,2.761,,1904,37.333,3.280,4.572,meaning,7,mi:nɪŋ,5,1274,71.173,3.106,969,54.134,2.987,,6652,33.039,3.823,4.519,Sinn,4,zɪn,3,16097,131.594,4.207,16000,130.801,4.204,,2577,101.460,3.411,acepção,aceção,7,ɐsɛsɐ̃w,6,374,1.827,2.574,374,1.827,2.574,,2,0.026,0.477,1.408,acepción,8,aθepθjon,8,907,2.947,2.958,907,2.947,2.958,,2,0.048,0.477,
